Data File Name,Doc File,Data File,Date Published
"Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody",HEPBD_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPBD_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPBD_I.htm),HEPBD_I Data [XPT - 252 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPBD_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPBD_I.XPT),Sep-17
Hepatitis B: Surface Antibody,HEPB_S_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPB_S_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPB_S_I.htm),HEPB_S_I Data [XPT - 139.9 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPB_S_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPB_S_I.XPT),Sep-17
Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype,HEPC_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPC_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPC_I.htm),HEPC_I Data [XPT - 189.2 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPC_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPC_I.XPT),Updated September 2017
Hepatitis E: IgG & IgM Antibodies,HEPE_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPE_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPE_I.htm),HEPE_I Data [XPT - 189.2 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPE_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HEPE_I.XPT),Sep-17
Herpes Simplex Virus Type-1 & Type-2,HSV_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HSV_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HSV_I.htm),HSV_I Data [XPT - 88.1 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HSV_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HSV_I.XPT),Dec-17
HIV Antibody Test,HIV_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HIV_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HIV_I.htm),HIV_I Data [XPT - 154.8 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HIV_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HIV_I.XPT),Sep-17
Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas High-Risk,HPVSWC_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HPVSWC_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HPVSWC_I.htm),HPVSWC_I Data [XPT - 33.3 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HPVSWC_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HPVSWC_I.XPT),Nov-18
Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Linear Array,HPVSWR_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HPVSWR_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HPVSWR_I.htm),HPVSWR_I Data [XPT - 667.5 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HPVSWR_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/HPVSWR_I.XPT),Nov-18
Insulin,INS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/INS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/INS_I.htm),INS_I Data [XPT - 176.2 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/INS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/INS_I.XPT),Jun-18
Iodine - Urine,UIO_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UIO_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UIO_I.htm),UIO_I Data [XPT - 103.8 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UIO_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UIO_I.XPT),Jun-18
Mercury - Urine,UHG_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UHG_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UHG_I.htm),UHG_I Data [XPT - 103.8 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UHG_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UHG_I.XPT),Jun-18
Metals - Urine,UM_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UM_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UM_I.htm),UM_I Data [XPT - 721.9 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UM_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UM_I.XPT),Jun-18
Metals - Urine - Special Sample (Subsample),UMS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UMS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UMS_I.htm),UMS_I Data [XPT - 543.1 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UMS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UMS_I.XPT),Jun-18
"Mono-2-ethyl-5-hydroxyhexyl terephthalate, mono-2-ethyl-5-carboxypentyl terephthalate, and monooxoisononyl phthalate - Urine (Surplus)",SSMHHT_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/SSMHHT_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/SSMHHT_I.htm),SSMHHT_I Data [XPT - 187.5 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/SSMHHT_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/SSMHHT_I.XPT),Sep-18
Oral Glucose Tolerance Test,OGTT_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/OGTT_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/OGTT_I.htm),OGTT_I Data [XPT - 214.1 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/OGTT_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/OGTT_I.XPT),Jun-18
Perfluoroalkyl and Polyfluoroalkyl,PFAS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PFAS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PFAS_I.htm),PFAS_I Data [XPT - 376.7 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PFAS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PFAS_I.XPT),Sep-18
Phthalates and Plasticizers Metabolites - Urine,PHTHTE_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PHTHTE_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PHTHTE_I.htm),PHTHTE_I Data [XPT - 856.7 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PHTHTE_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PHTHTE_I.XPT),Oct-18
Plasma Fasting Glucose,GLU_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/GLU_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/GLU_I.htm),GLU_I Data [XPT - 101 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/GLU_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/GLU_I.XPT),Jun-18
Pregnancy Test - Urine,UCPREG_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UCPREG_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UCPREG_I.htm),UCPREG_I Data [XPT - 20.4 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UCPREG_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UCPREG_I.XPT),Sep-17
Sex Steroid Hormone - Serum,TST_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TST_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TST_I.htm),TST_I Data [XPT - 440.4 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TST_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TST_I.XPT),Nov-18
Speciated Arsenics - Urine - Special Sample (Subsample),UASS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UASS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UASS_I.htm),UASS_I Data [XPT - 272 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UASS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UASS_I.XPT),Jun-18
Speciated Arsenics - Urine (Subsample),UAS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UAS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UAS_I.htm),UAS_I Data [XPT - 361.3 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UAS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UAS_I.XPT),Jun-18
Standard Biochemistry Profile,BIOPRO_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/BIOPRO_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/BIOPRO_I.htm),BIOPRO_I Data [XPT - 2 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/BIOPRO_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/BIOPRO_I.XPT),Sep-17
Trichomonas - Urine,TRICH_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TRICH_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TRICH_I.htm),TRICH_I Data [XPT - 62.4 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TRICH_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/TRICH_I.XPT),Dec-17
Urine Flow Rate,UCFLOW_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UCFLOW_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UCFLOW_I.htm),UCFLOW_I Data [XPT - 674.6 KB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UCFLOW_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UCFLOW_I.XPT),Sep-17
Volatile Organic Compound (VOC) Metabolites - Urine,UVOC_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UVOC_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UVOC_I.htm),UVOC_I Data [XPT - 1.5 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UVOC_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UVOC_I.XPT),Nov-18
Volatile Organic Compound (VOC) Metabolites - Urine - Special Sample,UVOCS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UVOCS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UVOCS_I.htm),UVOCS_I Data [XPT - 1.1 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UVOCS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/UVOCS_I.XPT),Nov-18
Volatile Organic Compounds and Trihalomethanes/MTBE - Blood,VOCWB_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/VOCWB_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/VOCWB_I.htm),VOCWB_I Data [XPT - 2.2 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/VOCWB_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/VOCWB_I.XPT),Sep-18
Volatile Organic Compounds and Trihalomethanes/MTBE – Blood – Special Sample,VOCWBS_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/VOCWBS_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/VOCWBS_I.htm),VOCWBS_I Data [XPT - 2.1 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/VOCWBS_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/VOCWBS_I.XPT),Sep-18
