Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
WTSAU04,Audiometry Mec Weight Jack Knife Rep 4,AUX1,Audiometry,1999,2000,Examination,None
WTSAU05,Audiometry Mec Weight Jack Knife Rep 5,AUX1,Audiometry,1999,2000,Examination,None
WTSAU06,Audiometry Mec Weight Jack Knife Rep 6,AUX1,Audiometry,1999,2000,Examination,None
WTSAU07,Audiometry Mec Weight Jack Knife Rep 7,AUX1,Audiometry,1999,2000,Examination,None
WTSAU08,Audiometry Mec Weight Jack Knife Rep 8,AUX1,Audiometry,1999,2000,Examination,None
WTSAU09,Audiometry Mec Weight Jack Knife Rep 9,AUX1,Audiometry,1999,2000,Examination,None
WTSAU10,Audiometry Mec Weight Jack Knife Rep 10,AUX1,Audiometry,1999,2000,Examination,None
WTSAU11,Audiometry Mec Weight Jack Knife Rep 11,AUX1,Audiometry,1999,2000,Examination,None
WTSAU12,Audiometry Mec Weight Jack Knife Rep 12,AUX1,Audiometry,1999,2000,Examination,None
WTSAU13,Audiometry Mec Weight Jack Knife Rep 13,AUX1,Audiometry,1999,2000,Examination,None
WTSAU14,Audiometry Mec Weight Jack Knife Rep 14,AUX1,Audiometry,1999,2000,Examination,None
WTSAU15,Audiometry Mec Weight Jack Knife Rep 15,AUX1,Audiometry,1999,2000,Examination,None
WTSAU16,Audiometry Mec Weight Jack Knife Rep 16,AUX1,Audiometry,1999,2000,Examination,None
WTSAU17,Audiometry Mec Weight Jack Knife Rep 17,AUX1,Audiometry,1999,2000,Examination,None
WTSAU18,Audiometry Mec Weight Jack Knife Rep 18,AUX1,Audiometry,1999,2000,Examination,None
WTSAU19,Audiometry Mec Weight Jack Knife Rep 19,AUX1,Audiometry,1999,2000,Examination,None
WTSAU20,Audiometry Mec Weight Jack Knife Rep 20,AUX1,Audiometry,1999,2000,Examination,None
WTSAU21,Audiometry Mec Weight Jack Knife Rep 21,AUX1,Audiometry,1999,2000,Examination,None
WTSAU22,Audiometry Mec Weight Jack Knife Rep 22,AUX1,Audiometry,1999,2000,Examination,None
WTSAU23,Audiometry Mec Weight Jack Knife Rep 23,AUX1,Audiometry,1999,2000,Examination,None
WTSAU24,Audiometry Mec Weight Jack Knife Rep 24,AUX1,Audiometry,1999,2000,Examination,None
WTSAU25,Audiometry Mec Weight Jack Knife Rep 25,AUX1,Audiometry,1999,2000,Examination,None
WTSAU26,Audiometry Mec Weight Jack Knife Rep 26,AUX1,Audiometry,1999,2000,Examination,None
WTSAU27,Audiometry Mec Weight Jack Knife Rep 27,AUX1,Audiometry,1999,2000,Examination,None
WTSAU28,Audiometry Mec Weight Jack Knife Rep 28,AUX1,Audiometry,1999,2000,Examination,None
WTSAU29,Audiometry Mec Weight Jack Knife Rep 29,AUX1,Audiometry,1999,2000,Examination,None
WTSAU30,Audiometry Mec Weight Jack Knife Rep 30,AUX1,Audiometry,1999,2000,Examination,None
WTSAU31,Audiometry Mec Weight Jack Knife Rep 31,AUX1,Audiometry,1999,2000,Examination,None
WTSAU32,Audiometry Mec Weight Jack Knife Rep 32,AUX1,Audiometry,1999,2000,Examination,None
WTSAU33,Audiometry Mec Weight Jack Knife Rep 33,AUX1,Audiometry,1999,2000,Examination,None
WTSAU34,Audiometry Mec Weight Jack Knife Rep 34,AUX1,Audiometry,1999,2000,Examination,None
WTSAU35,Audiometry Mec Weight Jack Knife Rep 35,AUX1,Audiometry,1999,2000,Examination,None
WTSAU36,Audiometry Mec Weight Jack Knife Rep 36,AUX1,Audiometry,1999,2000,Examination,None
WTSAU37,Audiometry Mec Weight Jack Knife Rep 37,AUX1,Audiometry,1999,2000,Examination,None
WTSAU38,Audiometry Mec Weight Jack Knife Rep 38,AUX1,Audiometry,1999,2000,Examination,None
WTSAU39,Audiometry Mec Weight Jack Knife Rep 39,AUX1,Audiometry,1999,2000,Examination,None
WTSAU40,Audiometry Mec Weight Jack Knife Rep 40,AUX1,Audiometry,1999,2000,Examination,None
WTSAU41,Audiometry Mec Weight Jack Knife Rep 41,AUX1,Audiometry,1999,2000,Examination,None
WTSAU42,Audiometry Mec Weight Jack Knife Rep 42,AUX1,Audiometry,1999,2000,Examination,None
WTSAU43,Audiometry Mec Weight Jack Knife Rep 43,AUX1,Audiometry,1999,2000,Examination,None
WTSAU44,Audiometry Mec Weight Jack Knife Rep 44,AUX1,Audiometry,1999,2000,Examination,None
WTSAU45,Audiometry Mec Weight Jack Knife Rep 45,AUX1,Audiometry,1999,2000,Examination,None
WTSAU46,Audiometry Mec Weight Jack Knife Rep 46,AUX1,Audiometry,1999,2000,Examination,None
WTSAU47,Audiometry Mec Weight Jack Knife Rep 47,AUX1,Audiometry,1999,2000,Examination,None
WTSAU48,Audiometry Mec Weight Jack Knife Rep 48,AUX1,Audiometry,1999,2000,Examination,None
WTSAU49,Audiometry Mec Weight Jack Knife Rep 49,AUX1,Audiometry,1999,2000,Examination,None
WTSAU50,Audiometry Mec Weight Jack Knife Rep 50,AUX1,Audiometry,1999,2000,Examination,None
WTSAU51,Audiometry Mec Weight Jack Knife Rep 51,AUX1,Audiometry,1999,2000,Examination,None
WTSAU52,Audiometry Mec Weight Jack Knife Rep 52,AUX1,Audiometry,1999,2000,Examination,None
AUAEXSTS,Status of an Audiometry Exam,AUX1,Audiometry,1999,2000,Examination,None
AUAEXCMT,Comment code for an Audio Exam,AUX1,Audiometry,1999,2000,Examination,None
AUQ010,"Do you now have a tube in your right or left ear? (If yes, indicate affected ear(s))",AUX1,Audiometry,1999,2000,Examination,None
AUQ020,"Have you had a cold, sinus problem, or earache in the last 24 hours?",AUX1,Audiometry,1999,2000,Examination,None
AUQ020A,Have you had a cold in the last 24 hours?,AUX1,Audiometry,1999,2000,Examination,None
AUQ020B,Have you had a sinus problem in the last 24 hours,AUX1,Audiometry,1999,2000,Examination,None
AUQ020C,Have you had an earache in the right ear in the last 24 hours?,AUX1,Audiometry,1999,2000,Examination,None
AUQ020D,Have you had an earache in left ear in the last 24 hours?,AUX1,Audiometry,1999,2000,Examination,None
AUQ020E,Have you had an earache in both ears in the last 24 hours?,AUX1,Audiometry,1999,2000,Examination,None
AUQ030,Have you been exposed to loud noise or listened to music with headphones in the past 24 hours?,AUX1,Audiometry,1999,2000,Examination,None
AUQ040,How many hours ago did the noise or music end?,AUX1,Audiometry,1999,2000,Examination,None
AUQ050,Do you hear better in one ear than the other?,AUX1,Audiometry,1999,2000,Examination,None
AUXOTSPL,Normal:  Left Ear Otoscopy,AUX1,Audiometry,1999,2000,Examination,None
AUXLOEXC,"Excessive Cerumen, Left Ear",AUX1,Audiometry,1999,2000,Examination,None
AUXLOIMC,"Impacted Cerumen, Left Ear",AUX1,Audiometry,1999,2000,Examination,None
AUXLOCOL,"Collapsing Ear Canal, Left Ear",AUX1,Audiometry,1999,2000,Examination,None
AUXLOABN,"Other Exam Abnormality, Left Ear",AUX1,Audiometry,1999,2000,Examination,None
AUDLOABC,"Other Exam Abnormality, Left, Comment",AUX1,Audiometry,1999,2000,Examination,None
AUXROTSP,Normal:  Right Ear Otoscopy,AUX1,Audiometry,1999,2000,Examination,None
AUXROEXC,"Excessive Cerumen, Right Ear",AUX1,Audiometry,1999,2000,Examination,None
AUXROIMC,"Impacted Cerumen, Right Ear",AUX1,Audiometry,1999,2000,Examination,None
AUXROCOL,"Collapsing Ear Canal, Right Ear",AUX1,Audiometry,1999,2000,Examination,None
AUXROABN,"Other Exam Abnormality, Right Ear",AUX1,Audiometry,1999,2000,Examination,None
AUDROABC,"Other Exam Abnormality, Right, Comment",AUX1,Audiometry,1999,2000,Examination,None
AUXTMEPR,"Middle ear pressure (tympanometry), right ear",AUX1,Audiometry,1999,2000,Examination,None
AUXTPVR,"Physical volume (tympanometry), right ear",AUX1,Audiometry,1999,2000,Examination,None
AUXTWIDR,"Tympanometric width, right ear",AUX1,Audiometry,1999,2000,Examination,None
AUXTCOMR,"Compliance (tympanometry), right ear",AUX1,Audiometry,1999,2000,Examination,None
AUXTMEPL,"Middle ear pressure (tympanometry), left ear",AUX1,Audiometry,1999,2000,Examination,None
AUXTPVL,"Physical volume (tympanometry), left ear",AUX1,Audiometry,1999,2000,Examination,None
AUXTWIDL,"Tympanometric width, left ear",AUX1,Audiometry,1999,2000,Examination,None
AUXTCOML,"Compliance (tympanometry), left ear",AUX1,Audiometry,1999,2000,Examination,None
AUAEAR,Which ear tested first?,AUX1,Audiometry,1999,2000,Examination,None
AUAMODE,Mode of Audiometric Test (Manual/Automatic/Mixed),AUX1,Audiometry,1999,2000,Examination,None
AUAFMANL,Frequency at Which Switched From Auto to Manual Audio Testing (Left),AUX1,Audiometry,1999,2000,Examination,None
AUAFMANR,Frequency at Which Switched From Auto to Manual Audio Testing (Right),AUX1,Audiometry,1999,2000,Examination,None
AUXU1K1R,Right threshold @ 1000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU500R,Right threshold @ 500Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU1K2R,Right threshold @ 1000Hz (second reading)in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU2KR,Right threshold @ 2000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU3KR,Right threshold @ 3000Hz in decibels (Hearing Levels),AUX1,Audiometry,1999,2000,Examination,None
AUXU4KR,Right threshold @ 4000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU6KR,Right threshold @ 6000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU8KR,Right threshold @ 8000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU1K1L,Left threshold @ 1000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU500L,Left threshold @ 500Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU1K2L,Left threshold @ 1000Hz (second reading)in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU2KL,Left threshold @ 2000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU3KL,Left threshold @ 3000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU4KL,Left threshold @ 4000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU6KL,Left threshold @ 6000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXU8KL,Left threshold @ 8000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR1K1R,Right retest threshold @ 1000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR5CR,Right retest threshold @ 500Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR1K2R,"Right retest threshold @ 1000Hz, second reading (db)",AUX1,Audiometry,1999,2000,Examination,None
AUXR2KR,Right retest threshold @ 2000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR3KR,Right retest threshold @ 3000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR4KR,Right retest threshold @ 4000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR6KR,Right retest threshold @ 6000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR8KR,Right retest threshold @ 8000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR1K1L,Left retest threshold @ 1000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR5CL,Left retest threshold @ 500Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR1K2L,"Left retest threshold @ 1000Hz, second reading in decibels (Hearing Level)",AUX1,Audiometry,1999,2000,Examination,None
AUXR2KL,Left retest threshold @ 2000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR3KL,Left retest threshold @ 3000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR4KL,Left retest threshold @ 4000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR6KL,Left retest threshold @ 6000Hz in decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUXR8KL,Left retest threshold @ 8000Hzin decibels (Hearing Level),AUX1,Audiometry,1999,2000,Examination,None
AUAREQC,Right Ear Quality Code,AUX1,Audiometry,1999,2000,Examination,None
AUALEQC,Left Ear Quality Code,AUX1,Audiometry,1999,2000,Examination,None
SEQN,Respondent sequence number.,AUX_B,Audiometry,2001,2002,Examination,None
WTSAU2YR,Audiometry Subsample 2 Year Mec Weight,AUX_B,Audiometry,2001,2002,Examination,None
WTSAU4YR,Audiometry Subsample 4 Year Mec Weight,AUX_B,Audiometry,2001,2002,Examination,None
AUAEXSTS,Status of an Audiometry Exam,AUX_B,Audiometry,2001,2002,Examination,None
AUAEXCMT,Comment code for an Audio Exam,AUX_B,Audiometry,2001,2002,Examination,None
AUQ010,"Do you now have a tube in your right or left ear? (If yes, indicate affected ear(s))",AUX_B,Audiometry,2001,2002,Examination,None
AUQ020,"Have you had a cold, sinus problem, or earache in the last 24 hours?",AUX_B,Audiometry,2001,2002,Examination,None
AUQ020A,Have you had a cold in the last 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ020B,Have you had a sinus problem in the last 24 hours,AUX_B,Audiometry,2001,2002,Examination,None
AUQ020C,Have you had an earache in the right ear in the last 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ020D,Have you had an earache in left ear in the last 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ020E,Have you had an earache in both ears in the last 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ030,Have you been exposed to loud noise or listened to music with headphones in the past 24 hours?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ040,How many hours ago did the noise or music end?,AUX_B,Audiometry,2001,2002,Examination,None
AUQ050,Do you hear better in one ear than the other?,AUX_B,Audiometry,2001,2002,Examination,None
AUXOTSPL,Normal:  Left Ear Otoscopy,AUX_B,Audiometry,2001,2002,Examination,None
AUXLOEXC,"Excessive Cerumen, Left Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXLOIMC,"Impacted Cerumen, Left Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXLOCOL,"Collapsing Ear Canal, Left Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXLOABN,"Other Exam Abnormality, Left Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUDLOABC,"Other Exam Abnormality, Left, Comment",AUX_B,Audiometry,2001,2002,Examination,None
AUXROTSP,Normal:  Right Ear Otoscopy,AUX_B,Audiometry,2001,2002,Examination,None
AUXROEXC,"Excessive Cerumen, Right Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXROIMC,"Impacted Cerumen, Right Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXROCOL,"Collapsing Ear Canal, Right Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXROABN,"Other Exam Abnormality, Right Ear",AUX_B,Audiometry,2001,2002,Examination,None
AUDROABC,"Other Exam Abnormality, Right, Comment",AUX_B,Audiometry,2001,2002,Examination,None
AUXTMEPR,"Middle ear pressure (tympanometry), right ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTPVR,"Physical volume (tympanometry), right ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTWIDR,"Tympanometric width, right ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTCOMR,"Compliance (tympanometry), right ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTMEPL,"Middle ear pressure (tympanometry), left ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTPVL,"Physical volume (tympanometry), left ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTWIDL,"Tympanometric width, left ear",AUX_B,Audiometry,2001,2002,Examination,None
AUXTCOML,"Compliance (tympanometry), left ear",AUX_B,Audiometry,2001,2002,Examination,None
AUAEAR,Which ear tested first?,AUX_B,Audiometry,2001,2002,Examination,None
AUAMODE,Mode of Audiometric Test (Manual/Automatic/Mixed),AUX_B,Audiometry,2001,2002,Examination,None
AUAFMANL,Frequency at Which Switched From Auto to Manual Audio Testing (Left),AUX_B,Audiometry,2001,2002,Examination,None
AUAFMANR,Frequency at Which Switched From Auto to Manual Audio Testing (Right),AUX_B,Audiometry,2001,2002,Examination,None
AUXU1K1R,Right threshold @ 1000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU500R,Right threshold @ 500Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU1K2R,Right threshold @ 1000Hz (second reading)in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU2KR,Right threshold @ 2000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU3KR,Right threshold @ 3000Hz in decibels (Hearing Levels),AUX_B,Audiometry,2001,2002,Examination,None
AUXU4KR,Right threshold @ 4000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU6KR,Right threshold @ 6000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU8KR,Right threshold @ 8000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU1K1L,Left threshold @ 1000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU500L,Left threshold @ 500Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU1K2L,Left threshold @ 1000Hz (second reading)in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU2KL,Left threshold @ 2000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU3KL,Left threshold @ 3000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU4KL,Left threshold @ 4000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU6KL,Left threshold @ 6000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXU8KL,Left threshold @ 8000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR1K1R,Right retest threshold @ 1000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR5CR,Right retest threshold @ 500Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR1K2R,"Right retest threshold @ 1000Hz, second reading (db)",AUX_B,Audiometry,2001,2002,Examination,None
AUXR2KR,Right retest threshold @ 2000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR3KR,Right retest threshold @ 3000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR4KR,Right retest threshold @ 4000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR6KR,Right retest threshold @ 6000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR8KR,Right retest threshold @ 8000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR1K1L,Left retest threshold @ 1000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR5CL,Left retest threshold @ 500Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR1K2L,"Left retest threshold @ 1000Hz, second reading in decibels (Hearing Level)",AUX_B,Audiometry,2001,2002,Examination,None
AUXR2KL,Left retest threshold @ 2000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR3KL,Left retest threshold @ 3000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR4KL,Left retest threshold @ 4000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR6KL,Left retest threshold @ 6000Hz in decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUXR8KL,Left retest threshold @ 8000Hzin decibels (Hearing Level),AUX_B,Audiometry,2001,2002,Examination,None
AUAREQC,Right Ear Quality Code,AUX_B,Audiometry,2001,2002,Examination,None
AUALEQC,Left Ear Quality Code,AUX_B,Audiometry,2001,2002,Examination,None
SEQN,Respondent sequence number.,AUX_C,Audiometry,2003,2004,Examination,None
WTSAU2YR,Audiometry Subsample 2 year MEC Weight,AUX_C,Audiometry,2003,2004,Examination,None
AUAEXSTS,Status of an Audiometry Exam,AUX_C,Audiometry,2003,2004,Examination,None
AUAEXCMT,Comment code for an Audio Exam,AUX_C,Audiometry,2003,2004,Examination,None
AUQ010,"Do you now have a tube in your right or left ear? (If yes, indicate affected ear(s))",AUX_C,Audiometry,2003,2004,Examination,None
AUQ020,"Have you had a cold, sinus problem, or earache in the last 24 hours?",AUX_C,Audiometry,2003,2004,Examination,None
AUQ020A,Have you had a cold in the last 24 hours?,AUX_C,Audiometry,2003,2004,Examination,None
AUQ020B,Have you had a sinus problem in the last 24 hours,AUX_C,Audiometry,2003,2004,Examination,None
AUQ020C,Have you had an earache in the right ear in the last 24 hours?,AUX_C,Audiometry,2003,2004,Examination,None
AUQ020D,Have you had an earache in left ear in the last 24 hours?,AUX_C,Audiometry,2003,2004,Examination,None
AUQ020E,Have you had an earache in both ears in the last 24 hours?,AUX_C,Audiometry,2003,2004,Examination,None
AUQ030,Have you been exposed to loud noise or listened to music with headphones in the past 24 hours?,AUX_C,Audiometry,2003,2004,Examination,None
AUQ040,How many hours ago did the noise or music end?,AUX_C,Audiometry,2003,2004,Examination,None
AUQ050,Do you hear better in one ear than the other?,AUX_C,Audiometry,2003,2004,Examination,None
AUXOTSPL,Normal:  Left Ear Otoscopy,AUX_C,Audiometry,2003,2004,Examination,None
AUXLOEXC,"Excessive Cerumen, Left Ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXLOIMC,"Impacted Cerumen, Left Ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXLOCOL,"Collapsing Ear Canal, Left Ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXLOABN,"Other Exam Abnormality, Left Ear",AUX_C,Audiometry,2003,2004,Examination,None
AUDLOABC,"Other Exam Abnormality, Left, Comment",AUX_C,Audiometry,2003,2004,Examination,None
AUXROTSP,Normal:  Right Ear Otoscopy,AUX_C,Audiometry,2003,2004,Examination,None
AUXROEXC,"Excessive Cerumen, Right Ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXROIMC,"Impacted Cerumen, Right Ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXROCOL,"Collapsing Ear Canal, Right Ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXROABN,"Other Exam Abnormality, Right Ear",AUX_C,Audiometry,2003,2004,Examination,None
AUDROABC,"Other Exam Abnormality, Right, Comment",AUX_C,Audiometry,2003,2004,Examination,None
AUXTMEPR,"Middle ear pressure (tympanometry), right ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXTPVR,"Physical volume (tympanometry), right ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXTWIDR,"Tympanometric width, right ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXTCOMR,"Compliance (tympanometry), right ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXTMEPL,"Middle ear pressure (tympanometry), left ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXTPVL,"Physical volume (tympanometry), left ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXTWIDL,"Tympanometric width, left ear",AUX_C,Audiometry,2003,2004,Examination,None
AUXTCOML,"Compliance (tympanometry), left ear",AUX_C,Audiometry,2003,2004,Examination,None
AUAEAR,Which ear tested first?,AUX_C,Audiometry,2003,2004,Examination,None
AUAMODE,Mode of Audiometric Test (Manual/Automatic/Mixed),AUX_C,Audiometry,2003,2004,Examination,None
AUAFMANL,Frequency at Which Switched From Auto to Manual Audio Testing (Left),AUX_C,Audiometry,2003,2004,Examination,None
AUAFMANR,Frequency at Which Switched From Auto to Manual Audio Testing (Right),AUX_C,Audiometry,2003,2004,Examination,None
AUXU1K1R,Right threshold @ 1000Hz in decibels (Hearing Level),AUX_C,Audiometry,2003,2004,Examination,None
AUXU500R,Right threshold @ 500Hz in decibels (Hearing Level),AUX_C,Audiometry,2003,2004,Examination,None
AUXU1K2R,Right threshold @ 1000Hz (second reading)in decibels (Hearing Level),AUX_C,Audiometry,2003,2004,Examination,None
AUXU2KR,Right threshold @ 2000Hz in decibels (Hearing Level),AUX_C,Audiometry,2003,2004,Examination,None
AUXU3KR,Right threshold @ 3000Hz in decibels (Hearing Levels),AUX_C,Audiometry,2003,2004,Examination,None
AUXU4KR,Right threshold @ 4000Hz in decibels (Hearing Level),AUX_C,Audiometry,2003,2004,Examination,None
